,Seats,Engine_(CC),Power_(bhp),Mileage_(kmpl),Brand,Year,Kilometers_Driven,Fuel_Type,Tranmission,Owner_Type,Price_(Lacs)
33,5,2698.0,179.5,12.4,Audi,2010,35000.0,Diesel,Automatic,First,74.06
34,5,1598.0,103.5,16.09,Volkswagen,2014,55431.0,Petrol,Manual,Second,44.95
35,5,1061.0,64.0,14.0,Maruti,2009,83816.0,Petrol,Manual,Second,11.91
36,5,1248.0,88.5,24.3,Maruti,2018,50075.0,Diesel,Manual,First,55.58
37,5,1198.0,82.0,18.15,Mahindra,2017,52000.0,Petrol,Manual,First,31.23
38,5,2987.0,233.575,11.74,Mercedes-Benz,2013,85000.0,Diesel,Automatic,First,180.32
39,5,1199.0,73.9,22.07,Volkswagen,2013,62000.0,Diesel,Manual,First,32.2
40,5,796.0,46.3,19.7,Maruti,2008,90000.0,Petrol,Manual,Second,8.05
41,4,624.0,37.5,25.4,Tata,2014,19698.0,Petrol,Manual,First,9.85
42,6,1198.0,77.0,25.32,Mahindra,2017,22033.0,Diesel,Manual,First,35.94
43,5,1197.0,82.9,18.5,Hyundai,2014,35487.0,Petrol,Manual,First,30.53
44,5,1999.0,149.92,14.62,Hyundai,2014,46374.0,Petrol,Automatic,First,56.99
45,5,1798.0,138.03,14.28,Toyota,2016,52001.0,Petrol,Automatic,First,65.11
46,5,1991.0,112.2,14.9,Hyundai,2008,58005.0,Diesel,Manual,Second,27.37
47,7,2694.0,163.7,11.25,Toyota,2012,70704.0,Petrol,Manual,First,70.52
48,5,1120.0,71.0,24.4,Hyundai,2014,75000.0,Diesel,Manual,First,24.79
49,6,2498.0,105.0,16.55,Mahindra,2012,75800.0,Diesel,Manual,Second,35.42
50,5,1968.0,174.33,17.11,Audi,2015,13648.0,Diesel,Automatic,First,138.01
51,5,1248.0,74.0,22.9,Maruti,2014,52000.0,Diesel,Manual,First,27.37
52,5,1248.0,75.0,17.8,Maruti,2014,53000.0,Diesel,Manual,First,21.25
53,5,1248.0,74.0,28.4,Maruti,2013,65650.0,Diesel,Manual,First,24.79
54,5,1197.0,82.0,18.9,Hyundai,2015,54000.0,Petrol,Manual,Third,23.18
55,5,1598.0,103.2,15.04,Volkswagen,2015,39000.0,Petrol,Manual,First,25.7
56,5,799.0,53.3,25.17,Renault,2017,16542.0,Petrol,Manual,First,21.25
57,5,1197.0,78.9,20.36,Hyundai,2010,32000.0,Petrol,Manual,First,13.33
58,5,1995.0,147.6,13.29,Nissan,2010,121812.0,Diesel,Automatic,First,49.91
59,5,998.0,67.1,18.2,Maruti,2010,39300.0,Petrol,Manual,First,14.49
60,8,2393.0,147.8,13.68,Toyota,2017,22000.0,Diesel,Manual,First,106.26
61,5,1399.0,68.0,20.0,Ford,2010,72000.0,Diesel,Manual,First,17.71
62,5,1796.0,186.0,11.74,Mercedes-Benz,2015,58000.0,Petrol,Automatic,First,171.95
63,5,2148.0,170.0,15.8,Mercedes-Benz,2011,65000.0,Diesel,Manual,Second,64.4
64,5,1396.0,69.0,25.0,Tata,2016,131500.0,Diesel,Manual,First,16.1
65,5,1968.0,140.0,16.55,Audi,2012,65664.0,Diesel,Automatic,First,86.94
66,5,1497.0,78.0,16.4,Honda,2007,63000.0,Petrol,Automatic,Second,11.91
67,5,1950.0,194.0,6.274999999999997,Mercedes-Benz,2019,15369.0,Diesel,Automatic,First,229.71
68,7,1248.0,88.5,24.52,Maruti,2016,63000.0,Diesel,Manual,First,52.49
69,5,1396.0,88.7,22.1,Hyundai,2018,13000.0,Diesel,Manual,First,67.62
70,5,3163.75,233.575,8.5,Porsche,2008,73000.0,Petrol,Automatic,First,93.38
71,7,2179.0,140.0,15.1,Mahindra,2015,55729.0,Diesel,Manual,First,62.15
72,5,1197.0,78.9,16.95,Hyundai,2012,45178.0,Petrol,Automatic,First,22.41
73,5,1461.0,108.5,19.64,Nissan,2015,56066.0,Diesel,Manual,First,44.56
74,5,1198.0,86.8,16.5,Honda,2016,37300.0,Petrol,Automatic,Second,41.6
75,5,1968.0,187.74,18.53,Audi,2014,56000.0,Diesel,Automatic,Second,189.98
76,5,1399.0,68.0,17.8,Ford,2008,111111.0,Diesel,Manual,First,12.88
77,8,1998.0,132.0,12.4,Toyota,2006,131500.0,Petrol,Manual,Third,28.98
78,7,2494.0,102.0,12.8,Toyota,2012,104000.0,Diesel,Manual,First,75.67
79,5,1086.0,62.0,6.274999999999997,Hyundai,2005,87591.0,Petrol,Manual,First,8.37
80,5,1248.0,74.0,22.9,Maruti,2012,95100.0,Diesel,Manual,First,24.15
81,5,1193.0,88.7,17.57,Tata,2017,70000.0,Petrol,Manual,First,28.98
82,5,1198.0,86.7,18.0,Honda,2016,54944.0,Petrol,Manual,First,31.04
83,5,1399.0,68.0,20.0,Ford,2012,70337.0,Diesel,Manual,First,18.03
84,5,1248.0,73.94,23.2,Maruti,2013,99638.0,Diesel,Manual,First,20.03
85,5,1497.0,117.3,17.8,Honda,2009,52000.0,Petrol,Manual,First,20.93
86,5,1995.0,218.0,16.73,BMW,2011,75000.0,Diesel,Automatic,Second,89.52
87,5,1197.0,78.9,20.36,Hyundai,2009,95980.0,Petrol,Manual,First,14.49
88,5,1197.0,82.0,18.9,Hyundai,2016,16000.0,Petrol,Manual,First,37.03
89,5,1086.0,62.1,17.0,Hyundai,2007,73745.0,Petrol,Manual,First,13.52
90,5,1198.0,86.7,17.8,Honda,2016,18949.0,Petrol,Manual,First,32.2
91,7,2982.0,168.5,13.0,Toyota,2014,107000.0,Diesel,Manual,First,106.26
92,5,1968.0,174.33,17.68,Audi,2018,48367.0,Diesel,Automatic,First,254.9
93,5,1498.0,89.84,22.7,Ford,2013,57000.0,Diesel,Manual,First,35.42
94,7,2179.0,140.0,15.1,Mahindra,2014,58000.0,Diesel,Manual,First,52.16
95,5,1498.0,98.6,25.8,Honda,2015,30000.0,Diesel,Manual,First,22.54
96,5,1199.0,73.9,22.07,Volkswagen,2013,34212.0,Diesel,Manual,First,17.97
97,5,1493.0,110.0,16.2,Hyundai,2010,70002.0,Diesel,Manual,First,22.22
98,5,998.0,67.1,18.9,Maruti,2016,62000.0,Petrol,Manual,First,28.66
99,5,1598.0,103.5,15.26,Volkswagen,2010,62001.0,Petrol,Manual,First,17.07
100,5,1396.0,90.0,23.0,Hyundai,2011,78958.0,Diesel,Manual,Second,24.47
101,5,1197.0,82.85,18.5,Hyundai,2014,30180.0,Petrol,Manual,First,29.95
102,7,1198.0,67.0,19.83,Datsun,2017,32851.0,Petrol,Manual,First,25.44
103,5,2967.0,233.575,14.94,Audi,2010,30000.0,Diesel,Automatic,First,63.11
104,5,1197.0,80.0,17.0,Hyundai,2009,66000.0,Petrol,Manual,Second,17.39
105,5,796.0,35.0,14.0,Maruti,2010,93850.0,Petrol,Manual,First,15.52
106,5,1197.0,78.9,17.71,Toyota,2014,53000.0,Petrol,Manual,First,25.12
107,5,2993.0,233.575,14.74,Jaguar,2011,78000.0,Diesel,Automatic,Second,154.56
108,7,2179.0,140.0,16.0,Mahindra,2012,65000.0,Diesel,Manual,Second,37.03
109,5,1582.0,126.32,22.32,Hyundai,2014,40000.0,Diesel,Automatic,First,33.81
110,7,2755.0,171.5,11.36,Toyota,2017,30000.0,Diesel,Automatic,First,123.97
111,5,1196.0,73.0,15.1,Maruti,2017,38053.0,Petrol,Manual,First,25.18
112,4,624.0,37.5,25.4,Tata,2014,25500.0,Petrol,Manual,First,13.85
113,5,1995.0,190.0,22.69,BMW,2015,56087.0,Diesel,Automatic,First,133.63
114,5,1799.0,130.0,13.5,Honda,2010,71088.0,Petrol,Manual,First,21.57
115,7,2494.0,100.6,12.99,Toyota,2014,55000.0,Diesel,Manual,First,71.55
116,5,1984.0,150.0,23.3,Volvo,2014,32700.0,Diesel,Automatic,First,128.8
117,5,1198.0,75.94,19.15,Nissan,2016,39882.0,Petrol,Automatic,First,42.18
118,5,2497.0,215.0,10.8,BMW,2009,128000.0,Petrol,Automatic,First,45.08
119,5,1248.0,88.5,24.3,Maruti,2016,55000.0,Diesel,Manual,First,48.3
120,5,1086.0,62.1,17.0,Hyundai,2005,102000.0,Petrol,Manual,Second,5.47
121,5,2143.0,107.3,15.0,Mercedes-Benz,2014,53753.0,Diesel,Automatic,Second,107.87
122,5,1582.0,126.2,22.0,Hyundai,2018,10250.0,Diesel,Manual,First,70.52
123,5,998.0,67.1,18.9,Maruti,2011,43874.0,Petrol,Manual,First,15.78
124,4,624.0,37.48,21.9,Tata,2017,32684.0,Petrol,Automatic,First,20.8
125,8,2179.0,120.0,12.05,Mahindra,2014,42000.0,Diesel,Manual,First,49.91
126,5,1796.0,178.0,11.7,Mercedes-Benz,2009,28352.0,Petrol,Automatic,First,60.21
127,5,998.0,58.16,26.6,Maruti,2013,89900.0,CNG,Manual,First,20.93
128,5,2354.0,152.0,10.8,Honda,2007,47700.0,Petrol,Manual,Second,33.81
129,5,1498.0,103.2,21.21,Volkswagen,2015,55000.0,Diesel,Automatic,First,46.69
130,5,1373.0,91.1,20.73,Maruti,2017,44285.0,Petrol,Manual,First,48.11
131,7,2179.0,140.0,16.0,Mahindra,2016,54000.0,Diesel,Automatic,First,85.33
132,5,1197.0,85.8,21.1,Maruti,2016,30232.0,Petrol,Manual,First,37.42
133,5,998.0,67.1,24.07,Maruti,2014,88500.0,Petrol,Manual,First,16.74
134,2,2996.0,233.575,19.0,Mercedes-Benz,2017,13372.0,Petrol,Automatic,First,347.76
135,5,1591.0,121.3,17.0,Hyundai,2019,12645.0,Petrol,Automatic,First,74.06
136,5,796.0,46.3,19.7,Maruti,2010,94385.0,Petrol,Manual,Second,10.3
137,5,1995.0,143.0,20.58,BMW,2015,31821.0,Diesel,Automatic,First,110.9
138,5,1199.0,88.7,19.0,Honda,2015,12000.0,Petrol,Automatic,First,38.64
139,5,1799.0,130.0,13.5,Honda,2012,88578.0,Petrol,Manual,First,25.44
140,5,2143.0,170.0,19.27,Mercedes-Benz,2014,44965.0,Diesel,Automatic,First,115.6
141,5,1498.0,98.6,25.8,Honda,2014,45044.0,Diesel,Manual,First,23.83
142,5,1197.0,81.8,22.0,Maruti,2016,34204.0,Petrol,Manual,First,34.97
143,5,1086.0,62.1,17.0,Hyundai,2008,80759.0,Petrol,Manual,Third,10.75
144,7,2982.0,171.0,11.5,Toyota,2012,91235.0,Diesel,Manual,First,86.88
145,5,1199.0,76.8,18.6,Chevrolet,2014,38800.0,Petrol,Manual,First,18.35
146,5,1498.0,103.52,21.14,Skoda,2013,83000.0,Diesel,Manual,First,30.59
147,5,1373.0,91.1,20.73,Maruti,2018,41283.0,Petrol,Manual,First,63.76
148,4,2894.0,233.575,11.05,Audi,2013,23000.0,Petrol,Automatic,First,238.28
149,5,1995.0,190.0,21.76,BMW,2014,48000.0,Diesel,Automatic,First,170.66
150,5,1968.0,174.33,17.11,Audi,2015,48214.0,Diesel,Automatic,First,150.18
151,5,1248.0,74.0,22.9,Maruti,2016,35000.0,Diesel,Manual,First,40.25
152,5,3163.75,233.575,7.81,Mercedes-Benz,2010,35277.0,Petrol,Automatic,First,193.2
153,5,1498.0,103.52,21.66,Skoda,2016,54620.0,Diesel,Automatic,First,63.5
154,5,1968.0,138.1,17.2,Skoda,2012,131500.0,Diesel,Automatic,First,54.74
155,5,814.0,55.2,21.1,Hyundai,2019,14322.0,Petrol,Manual,First,27.24
156,5,1199.0,73.9,22.07,Volkswagen,2012,65634.0,Diesel,Manual,First,22.54
157,5,1198.0,67.06,20.63,Datsun,2016,6000.0,Petrol,Manual,First,16.1
158,5,1198.0,86.8,19.4,Honda,2013,33280.0,Petrol,Manual,First,15.39
159,5,1595.0,120.7,14.8,Mercedes-Benz,2013,29000.0,Petrol,Automatic,First,72.45
160,5,1498.0,98.6,26.0,Honda,2015,42831.0,Diesel,Manual,First,45.79
161,7,2494.0,100.6,12.99,Toyota,2016,90000.0,Diesel,Manual,First,70.2
162,5,1197.0,81.8,20.4,Maruti,2017,24005.0,Petrol,Manual,First,39.93
163,7,2179.0,140.0,15.1,Mahindra,2012,32792.0,Diesel,Manual,First,50.88
164,5,1498.0,89.84,22.7,Ford,2014,131500.0,Diesel,Manual,First,28.46
165,7,2982.0,168.5,13.0,Toyota,2012,131500.0,Diesel,Manual,First,86.94
166,5,1498.0,108.5,21.5,Volkswagen,2013,65000.0,Diesel,Automatic,First,40.25
167,5,1399.0,68.0,20.0,Ford,2010,66123.0,Diesel,Manual,Second,13.52
168,5,2993.0,233.575,15.3,BMW,2015,41000.0,Diesel,Automatic,First,289.8
169,5,2143.0,167.62,19.27,Mercedes-Benz,2017,23550.0,Diesel,Automatic,First,216.77
170,5,1198.0,86.8,19.4,Honda,2012,45000.0,Petrol,Manual,Second,23.51
171,5,1197.0,78.9,20.36,Hyundai,2013,60000.0,Petrol,Manual,First,17.71
172,5,2143.0,170.0,17.9,Mercedes-Benz,2016,44414.0,Diesel,Automatic,First,273.7
173,5,1197.0,81.86,18.9,Hyundai,2019,1000.0,Petrol,Manual,First,41.86
174,5,1968.0,174.33,17.68,Audi,2012,62500.0,Diesel,Automatic,Second,122.36
175,5,1598.0,103.6,14.4,Volkswagen,2013,21000.0,Petrol,Automatic,Second,28.66
176,5,1998.0,112.0,16.6,Mini,2017,8525.0,Diesel,Automatic,Second,148.12
177,5,1396.0,88.73,22.54,Hyundai,2014,29000.0,Diesel,Manual,First,53.77
178,5,1968.0,174.33,17.68,Audi,2014,40000.0,Diesel,Automatic,First,147.8
179,5,936.0,57.6,25.44,Chevrolet,2012,88000.0,Diesel,Manual,First,9.66
180,5,1798.0,157.75,13.7,Skoda,2012,53537.0,Petrol,Automatic,First,44.37
181,5,1399.0,68.0,17.8,Ford,2006,131500.0,Diesel,Manual,Second,9.34
182,5,1995.0,190.0,22.48,BMW,2014,51000.0,Diesel,Automatic,First,215.74
183,5,1598.0,102.5,12.9,Chevrolet,2007,118500.0,Petrol,Manual,First,8.05
184,5,1199.0,73.9,22.07,Volkswagen,2012,63000.0,Diesel,Manual,First,27.05
185,8,1461.0,108.5,19.98,Renault,2015,25000.0,Diesel,Manual,First,43.47
186,5,2143.0,201.1,13.0,Mercedes-Benz,2014,37382.0,Diesel,Automatic,First,206.08
187,5,1197.0,83.1,21.4,Maruti,2017,24773.0,Petrol,Manual,First,48.3
188,5,1582.0,126.32,22.32,Hyundai,2012,62000.0,Diesel,Manual,First,29.62
189,5,1086.0,68.05,19.81,Hyundai,2017,52340.0,Petrol,Manual,First,26.02
190,7,1997.0,120.0,15.4,Mahindra,2016,56739.0,Diesel,Manual,First,66.4
191,5,2179.0,187.7,12.7,Land,2018,36091.0,Diesel,Automatic,First,359.09
192,5,1399.0,68.0,20.0,Ford,2010,120000.0,Diesel,Manual,First,16.74
193,7,1248.0,88.5,25.47,Maruti,2016,33000.0,Diesel,Manual,First,54.74
194,4,1057.0,174.66666666666666,6.274999999999997,Honda,2007,60006.0,Petrol,Manual,First,19.0
195,5,1498.0,98.6,25.8,Honda,2014,52000.0,Diesel,Manual,First,22.54
196,5,1197.0,78.9,20.36,Hyundai,2015,43571.0,Petrol,Manual,First,22.86
197,5,1498.0,98.6,25.8,Honda,2013,50000.0,Diesel,Manual,First,20.93
198,5,1896.0,106.0,17.5,Skoda,2008,113000.0,Diesel,Manual,First,28.98
199,5,1461.0,83.8,19.87,Renault,2014,90000.0,Diesel,Manual,First,34.45
200,7,1493.0,100.0,17.45,Mahindra,2017,29000.0,Diesel,Manual,Second,41.86
201,5,1248.0,88.5,24.3,Maruti,2016,20000.0,Diesel,Manual,First,57.96
202,5,1197.0,81.83,18.6,Hyundai,2016,61012.0,Petrol,Manual,First,38.64
203,5,1390.0,85.0,14.7,Skoda,2009,87459.0,Petrol,Manual,First,17.71
204,5,1193.0,64.1,15.64,Tata,2010,70500.0,Petrol,Manual,First,9.66
205,5,1968.0,174.33,15.73,Audi,2015,64103.0,Diesel,Automatic,First,128.16
206,5,1798.0,177.5,14.7,Skoda,2014,76000.0,Petrol,Automatic,First,64.4
207,5,1364.0,67.06,23.59,Toyota,2014,104000.0,Diesel,Manual,First,19.32
208,4,1264.3333333333333,65.06666666666666,16.1,Maruti,2010,42001.0,Petrol,Manual,First,13.59
209,5,1595.0,120.7,14.8,Mercedes-Benz,2014,37245.0,Petrol,Automatic,First,77.02
210,5,1498.0,98.6,27.4,Honda,2013,45000.0,Diesel,Manual,First,20.93
211,5,1582.0,126.32,22.32,Hyundai,2012,117837.0,Diesel,Manual,Second,30.59
212,5,1461.0,83.8,20.46,Renault,2014,30000.0,Diesel,Manual,First,38.32
213,5,1591.0,121.3,15.29,Hyundai,2015,27057.0,Petrol,Manual,Second,52.49
214,5,998.0,67.0,20.51,Maruti,2016,8500.0,Petrol,Automatic,First,27.18
215,5,1796.0,186.0,11.74,Mercedes-Benz,2010,30500.0,Petrol,Automatic,First,67.62
216,5,2967.0,233.575,11.8,Audi,2012,56000.0,Diesel,Automatic,First,289.8
217,5,1086.0,68.05,19.81,Hyundai,2012,44000.0,Petrol,Manual,Second,18.68
218,5,1598.0,103.52,14.3,Skoda,2017,10500.0,Petrol,Automatic,First,57.32
219,5,1798.0,177.46,14.67,Skoda,2017,26000.0,Petrol,Automatic,First,167.44
220,5,1197.0,81.86,17.19,Hyundai,2018,25166.0,Petrol,Manual,First,52.94
221,5,1498.0,98.6,25.8,Honda,2014,64000.0,Diesel,Manual,Second,22.54
222,5,998.0,67.1,18.9,Maruti,2004,61000.0,Petrol,Manual,Second,8.05
223,5,1461.0,65.0,21.03,Mahindra,2013,107000.0,Diesel,Manual,First,23.83
224,5,2143.0,167.62,19.27,Mercedes-Benz,2018,29161.0,Diesel,Automatic,First,253.8
225,5,998.0,67.04,22.5,Maruti,2013,32000.0,Petrol,Manual,First,17.07
226,5,1461.0,108.5,19.01,Nissan,2015,46173.0,Diesel,Manual,Second,57.44
227,5,1248.0,75.0,17.8,Maruti,2013,47000.0,Diesel,Manual,First,26.4
228,4,1998.0,189.08,16.82,Mini,2017,26327.0,Petrol,Automatic,First,229.71
229,5,1498.0,99.0,6.274999999999997,Ford,2015,70436.0,Diesel,Manual,First,23.18
230,5,1396.0,53.5,17.2,Tata,2007,131500.0,Diesel,Manual,Second,5.47
231,5,1199.0,76.8,18.6,Chevrolet,2016,60813.0,Petrol,Manual,Second,21.38
232,5,1199.0,73.9,22.07,Volkswagen,2012,45000.0,Diesel,Manual,First,23.18
233,5,1248.0,74.0,22.9,Maruti,2016,64000.0,Diesel,Manual,First,43.79
234,5,1399.0,68.05,20.0,Ford,2012,41284.0,Diesel,Manual,First,16.1
235,7,2755.0,171.5,11.36,Toyota,2019,14165.0,Diesel,Automatic,First,126.48
236,7,2199.0,194.3,11.72,Hyundai,2011,67000.0,Diesel,Automatic,Second,45.08
237,5,1497.0,117.3,17.4,Honda,2011,32572.0,Petrol,Manual,First,24.92
238,5,1197.0,81.83,18.6,Hyundai,2018,14960.0,Petrol,Manual,First,40.38
239,5,2143.0,167.62,19.27,Mercedes-Benz,2015,55980.0,Diesel,Automatic,First,116.69
240,5,936.0,57.6,25.44,Chevrolet,2013,74000.0,Diesel,Manual,First,17.07
241,5,1396.0,88.73,22.54,Hyundai,2015,56847.0,Diesel,Manual,First,46.37
242,7,2494.0,100.6,12.99,Toyota,2015,121374.0,Diesel,Manual,First,92.09
243,7,1248.0,88.76,20.77,Maruti,2013,52000.0,Diesel,Manual,First,44.44
244,7,2494.0,102.0,12.8,Toyota,2014,118000.0,Diesel,Manual,First,69.23
245,5,1086.0,62.1,17.0,Hyundai,2007,72000.0,Petrol,Manual,Third,6.12
246,5,1497.0,117.3,17.8,Honda,2016,33915.0,Petrol,Manual,First,52.1
247,5,1995.0,184.0,17.05,BMW,2014,82002.0,Diesel,Automatic,First,119.14
248,5,1120.0,70.0,24.0,Hyundai,2017,33000.0,Diesel,Manual,First,30.59
249,5,1248.0,88.5,28.09,Maruti,2016,34000.0,Diesel,Manual,First,54.42
250,5,1598.0,103.6,20.5,Skoda,2012,55000.0,Diesel,Manual,First,22.54
251,5,1493.0,82.0,13.1,Hyundai,2006,131500.0,Diesel,Manual,First,11.59
252,5,1498.0,103.6,19.91,Volkswagen,2014,60000.0,Diesel,Manual,Second,23.83
253,5,1199.0,88.7,18.7,Honda,2017,49575.0,Petrol,Manual,First,46.17
254,5,1086.0,68.05,19.81,Hyundai,2010,83000.0,Petrol,Manual,First,11.27
255,5,1995.0,183.0,16.38,Hyundai,2018,51346.0,Diesel,Automatic,First,141.62
256,7,2393.0,147.8,13.68,Toyota,2017,43000.0,Diesel,Manual,First,120.11
257,5,796.0,35.0,19.7,Maruti,2011,35000.0,Petrol,Manual,Third,11.91
258,5,1197.0,81.8,20.4,Maruti,2017,27872.0,Petrol,Manual,Second,38.32
259,5,1197.0,82.0,18.9,Hyundai,2014,16514.0,Petrol,Manual,First,24.15
260,5,1248.0,74.0,22.9,Maruti,2012,120000.0,Diesel,Manual,First,24.15
261,5,1582.0,126.2,22.0,Hyundai,2008,131500.0,Diesel,Manual,First,16.74
262,5,1086.0,62.0,6.274999999999997,Hyundai,2006,99000.0,Petrol,Manual,First,11.27
263,5,1197.0,80.0,17.0,Hyundai,2010,52000.0,Petrol,Manual,First,18.03
264,5,2987.0,233.575,11.57,Mercedes-Benz,2017,29819.0,Diesel,Automatic,First,394.71
265,5,2148.0,170.0,15.8,Mercedes-Benz,2014,57000.0,Diesel,Manual,Second,115.92
266,5,1248.0,73.94,23.2,Maruti,2014,88500.0,Diesel,Manual,First,28.01
267,5,1582.0,126.2,19.67,Hyundai,2016,28000.0,Diesel,Manual,First,88.55
268,5,998.0,66.1,19.0,Maruti,2010,67000.0,Petrol,Manual,First,12.88
269,5,1461.0,108.45,19.64,Renault,2016,26000.0,Diesel,Manual,First,64.4
270,5,1248.0,76.0,17.8,Fiat,2010,120000.0,Diesel,Manual,First,10.63
271,5,2993.0,233.575,16.55,BMW,2017,51982.0,Diesel,Automatic,First,294.76
272,5,1197.0,78.9,20.36,Hyundai,2010,36000.0,Petrol,Manual,Second,20.93
273,7,2494.0,102.0,12.8,Toyota,2016,47000.0,Diesel,Manual,First,82.43
274,5,993.0,60.0,17.3,Maruti,2002,60000.0,Petrol,Manual,Third,3.54
275,5,1248.0,74.0,28.4,Maruti,2018,31025.0,Diesel,Manual,First,46.05
276,8,2179.0,120.0,12.05,Mahindra,2013,105000.0,Diesel,Manual,Second,45.08
277,5,1248.0,74.0,22.95,Tata,2017,121900.0,Diesel,Manual,First,24.15
278,5,999.0,123.24,18.88,Ford,2017,22695.0,Petrol,Manual,First,54.74
279,5,1248.0,74.0,23.4,Maruti,2012,73000.0,Diesel,Manual,First,28.01
280,5,796.0,47.3,22.74,Maruti,2016,32227.0,Petrol,Manual,First,20.99
281,5,1497.0,118.0,17.0,Honda,2011,55000.0,Petrol,Manual,First,27.11
282,7,2967.0,233.575,12.07,Audi,2018,11287.0,Diesel,Automatic,First,453.12
283,5,1896.0,105.0,17.0,Skoda,2009,48000.0,Diesel,Automatic,Second,19.0
284,5,1591.0,121.3,17.1,Hyundai,2012,54308.0,Petrol,Manual,First,27.56
285,5,1497.0,118.0,16.8,Honda,2009,78442.0,Petrol,Automatic,First,22.99
286,5,1396.0,88.8,21.9,Hyundai,2013,46000.0,Diesel,Manual,First,20.03
287,5,1396.0,98.6,15.0,Hyundai,2014,45051.0,Petrol,Automatic,First,38.38
288,5,1598.0,103.6,20.54,Volkswagen,2011,69000.0,Diesel,Manual,First,30.27
289,5,1497.0,117.3,17.4,Honda,2014,49000.0,Petrol,Manual,First,44.44
290,5,1248.0,74.0,22.95,Tata,2018,45000.0,Diesel,Manual,First,33.81
291,5,1995.0,177.0,18.48,BMW,2015,64000.0,Diesel,Automatic,First,180.32
292,5,1061.0,67.0,18.9,Maruti,2009,60000.0,Petrol,Manual,First,8.69
293,5,1199.0,88.7,18.2,Honda,2015,62178.0,Petrol,Manual,First,31.23
294,5,1896.0,105.0,15.0,Volkswagen,2012,58006.0,Diesel,Manual,First,43.15
295,5,1197.0,78.9,20.36,Hyundai,2010,74000.0,Petrol,Manual,First,19.96
296,5,2143.0,170.0,19.27,Mercedes-Benz,2015,77771.0,Diesel,Automatic,First,120.04
297,5,1197.0,78.9,20.36,Hyundai,2012,45275.0,Petrol,Manual,First,18.03
298,7,2393.0,147.8,13.68,Toyota,2016,48000.0,Diesel,Manual,First,130.41
299,5,1968.0,174.33,17.68,Audi,2015,31652.0,Diesel,Automatic,First,172.46
300,7,2494.0,100.6,12.99,Toyota,2010,109000.0,Diesel,Manual,Second,53.19
